klucz,nazwa,wzorce,wyklucz,cena_zl,za_ilosc,jednostka,g_na_jednostke,g_szklanka,g_lyzka,g_lyzeczka,g_sztuka,okres,zrodlo,zmienna_bdl
smietana,śmietana 18%,smietana|smietany|smietane|smietanka|smietanki|smietanke,kremowk|kokos|sojow|owsian,2.88,0.2,kg,1000,240,15,5,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — śmietana 18% tłuszczu - za 200g",478245
jogurt,jogurt (GUS: owocowy),jogurt|jogurtu|jogurtem,grecki|grecki,2.06,0.15,kg,1000,240,15,5,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — jogurt owocowy - za 150g",52288
ser_zolty,ser żółty dojrzewający,ser zolty|sera zoltego|ser dojrzewajacy|sera dojrzewajacego|ser gouda|sera gouda|gouda|goudy,,32.82,1,kg,1000,100,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — ser dojrzewający - za 1kg",4979
twarog,twaróg,twarog|twarogu|ser bialy|sera bialego|ser twarogowy|sera twarogowego,,21.41,1,kg,1000,220,25,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — ser twarogowy - za 1kg",1727955
jajka,jajko kurze,jajko|jajka|jajek|jaja|jaj|jajkiem,przepiorcz|kacz|strusi,1.13,1,szt,60,,,,60,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — jaja kurze świeże - za 1szt.",4993
maslo,"masło 82,5%",maslo|masla|maslem,roslinn|orzechow|shea|kakaow|klarow,8.99,0.2,kg,1000,220,15,5,200,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — masło świeże o zawartości tłuszczu ok. 82,5% - za 200g",4981
olej,olej rzepakowy,olej|oleju|olejem|olej rzepakowy|oleju rzepakowego,kokos|sezam|lnian|arachid|dyni|orzech|palmow|truflow,9.55,1,l,920,230,14,5,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — olej rzepakowy produkcji krajowej - za 1l",4984
maka_pszenna,mąka pszenna,maka|maki|make|maka pszenna|maki pszennej|make pszenna,ziemniaczan|kukurydz|zytni|zytn|gryczan|ryzow|orkisz|kokos|migdal|razow|pelnoziarn|owsian|jaglan|cieciork|kasztan|tapiok,3.76,1,kg,1000,160,10,3,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — mąka pszenna (1) - za 1kg",1749185
cukier,cukier biały,cukier|cukru|cukrem|cukier bialy|cukru bialego,puder|pudr|trzcin|wanil|brazow|kokos|kandyz|zelujac|inwert,3.28,1,kg,1000,220,15,5,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — cukier biały kryształ - za 1kg",4994
miod,miód pszczeli,miod|miodu|miodem,,19.80,0.4,kg,1000,330,20,7,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — miód pszczeli (1) - za 400g",1727956
dzem,dżem,dzem|dzemu|dzemem|konfitura|konfitury|powidla|powidel,,7.70,0.36,kg,1000,320,20,7,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — dżem - za 360g",8873
kakao,kakao naturalne,kakao,,8.59,0.1,kg,1000,,8,3,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — kakao naturalne - za 100g",519962
czekolada,czekolada mleczna,czekolada|czekolady|czekolade|czekolada mleczna|czekolady mlecznej,,7.56,0.1,kg,1000,,,,100,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — czekolada mleczna - za 100g",4996
ryz,ryż,ryz|ryzu|ryzem,ryzow|dzik|arborio|basmati|jasmin,6.32,1,kg,1000,200,15,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — ryż - za 1kg",4992
kasza_gryczana,kasza gryczana prażona,kasza gryczana|kaszy gryczanej|kasze gryczana|gryczana|gryczanej,,6.86,0.5,kg,1000,180,15,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — kasza gryczana, prażona - za 0,5kg",4955
kasza_jeczmienna,kasza jęczmienna,kasza jeczmienna|kaszy jeczmiennej|kasze jeczmienna|peczak|peczaku|kasza perlowa|kaszy perlowej|kasza perlowa,,3.84,0.5,kg,1000,190,15,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — kasza jęczmienna - za 0,5kg",8871
makaron,makaron jajeczny,makaron|makaronu|makaronem,ryzow|sojow|konjac|gryczan,6.49,0.4,kg,1000,100,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — makaron jajeczny - za 400g",4952
chleb_razowy,chleb żytni razowy,chleb razowy|chleba razowego|chleb zytni|chleba zytniego,,13.99,1,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — chleb żytni razowy - za 1kg",1615991
chleb,chleb pszenno-żytni,chleb|chleba,tostow|bezglut|kukurydz,5.38,0.5,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — chleb pszenno-żytni - za 0,5kg",8260
bulka,bułka pszenna (ok. 60 g),bulka|bulki|bulek|bulke|bulka pszenna|bulki pszennej,tart|hamburger,0.88,1,szt,60,,,,60,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — bułka pszenna mała wagi do 60g – za 1 szt.",1747497
owoce_mrozone,owoce mrożone,owoce mrozone|owocow mrozonych|mrozone owoce|mrozonych owocow,,12.06,0.5,kg,1000,,,,,2025,"GUS, Bank Danych Lokalnych, P1466: przeciętne ceny detaliczne, średnia roczna — owoce mrożone - za 0,5kg",1753080
ziemniaki,ziemniaki jadalne,ziemniak|ziemniaki|ziemniaka|ziemniakow|ziemniakiem|ziemniaczek|ziemniaczki|ziemniaczkow,frytk|chips|skrobi,1.85,1,kg,1000,,,,150,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, średnia cena zakupu warzyw przez detal (opak. do 2 kg), ziemniaki - za 1kg (z zł/100 kg)",
cebula,cebula (dowolna odmiana; cena ZSRIR jest dla białej),cebula|cebuli|cebule|cebulke|cebulki|cebulka|cebula biala|cebuli bialej,dymk|proszk,2.42,1,kg,1000,,,,100,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, średnia cena zakupu warzyw przez detal (opak. do 2 kg), cebula biała - za 1kg (z zł/100 kg)",
marchew,marchew,marchew|marchewka|marchewki|marchewke|marchwi|marchewek,,2.89,1,kg,1000,,,,80,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, średnia cena zakupu warzyw przez detal (opak. do 2 kg), marchew - za 1kg (z zł/100 kg)",
papryka_czerwona,papryka czerwona,papryka czerwona|papryki czerwonej|papryke czerwona|czerwona papryka|czerwonej papryki,slodk,16.51,1,kg,1000,,,,160,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, średnia cena zakupu warzyw przez detal (opak. do 2 kg), papryka czerwona - za 1kg (z zł/100 kg)",
pomidor,pomidor okrągły,pomidor|pomidory|pomidora|pomidorow|pomidorem|pomidorki|pomidorkow,suszon|koncentrat|przecier|passat|cherry|malinow|puszk,8.00,1,kg,1000,,,,120,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, średnia cena zakupu warzyw przez detal (opak. do 2 kg), pomidory okrągłe - za 1kg (z zł/100 kg)",
kapusta,kapusta biała,kapusta|kapusty|kapuste|kapusta biala|kapusty bialej,kiszon|pekin|czerwon|wloska|wloskiej|modra,2.29,1,kg,1000,,,,1200,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, szacunek z cen hurtowych (arkusz ""HURT WARZ"", srednia min-max z 5 rynkow: Bronisze, Kalisz, Lodz, Poznan, Rzeszow) x 1,6 (przelicznik hurt-detal, D-286 cz. 3), kapusta biala - hurt 1,43 zl/kg",
buraki,buraki ćwikłowe,burak|buraki|buraka|burakow|burakiem|buraczek|buraczki,lisc,2.61,1,kg,1000,,,,150,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, szacunek z cen hurtowych (arkusz ""HURT WARZ"", srednia min-max z 5 rynkow: Bronisze, Kalisz, Lodz, Poznan, Rzeszow) x 1,6 (przelicznik hurt-detal, D-286 cz. 3), buraki cwiklowe - hurt 1,63 zl/kg",
por,por,por|pora|porow|porem|pory,,3.93,1,szt,150,,,,150,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, szacunek z cen hurtowych (arkusz ""HURT WARZ"", srednia min-max z 5 rynkow: Bronisze, Kalisz, Lodz, Poznan, Rzeszow) x 1,6 (przelicznik hurt-detal, D-286 cz. 3), por - hurt 2,455 zl/szt",
seler,seler korzeniowy,seler|selera|selerze|selerem|selery,naciow,5.15,1,kg,1000,,,,400,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, szacunek z cen hurtowych (arkusz ""HURT WARZ"", srednia min-max z 5 rynkow: Bronisze, Kalisz, Lodz, Poznan, Rzeszow) x 1,6 (przelicznik hurt-detal, D-286 cz. 3), seler korzeniowy - hurt 3,22 zl/kg",
pietruszka,pietruszka (korzeń),pietruszka|pietruszki|pietruszke|pietruszek,natk,7.76,1,kg,1000,,,,50,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, szacunek z cen hurtowych (arkusz ""HURT WARZ"", srednia min-max z 5 rynkow: Bronisze, Kalisz, Lodz, Poznan, Rzeszow) x 1,6 (przelicznik hurt-detal, D-286 cz. 3), pietruszka (korzeń) - hurt 4,85 zl/kg",
salata,sałata (głowa),salata|salaty|salate|salat,,4.89,1,szt,300,,,,300,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, szacunek z cen hurtowych (arkusz ""HURT WARZ"", srednia min-max z 5 rynkow: Bronisze, Kalisz, Lodz, Poznan, Rzeszow) x 1,6 (przelicznik hurt-detal, D-286 cz. 3), sałata (głowa) - hurt 3,058 zl/szt",
ogorek,ogórek gruntowy,ogorek|ogorki|ogorka|ogorkow|ogorkiem,kiszon|konserwow|malosolny|malosolne|malosolnych,7.34,1,kg,1000,,,,250,2026,"MRiRW, ZSRIR: notowania 14-22.09.2026, szacunek z cen hurtowych (arkusz ""HURT WARZ"", srednia min-max z 5 rynkow: Bronisze, Kalisz, Lodz, Poznan, Rzeszow) x 1,6 (przelicznik hurt-detal, D-286 cz. 3), ogórek gruntowy - hurt 4,59 zl/kg",
