klucz,nazwa,aliasy,zrodlo,zrodlo_id,gestosc_g_ml,pomijalny,zrodlo_nazwa,kcal,bialko,tluszcz,weglowodany
pomidory_z_puszki,pomidory z puszki,pomidory z puszki|pomidorów z puszki|pomidory krojone|pomidorów krojonych|pomidory w puszce|pomidorów w puszce|pomidory pelati|pomidorów pelati,ciqual,20137,1.03,0,"Tomate, pelée, appertisée, au jus, non égouttée",21.8,0.79,0.25,3.15
sos_sojowy,sos sojowy,sos sojowy|sosu sojowego,ciqual,11104,1.15,0,"Sauce soja, préemballée",39.9,7.25,0,1.72
bulion,bulion,bulion|bulionu|rosół|rosołu|wywar|wywaru|bulion warzywny|bulionu warzywnego|bulion drobiowy|bulionu drobiowego|wywar warzywny|wywaru warzywnego,ciqual,25909,1.0,0,"Bouillon de viande et légumes type pot-au-feu, prêt à consommer",5.76,0.53,0.3,0.24
kostka_rosolowa,kostka rosołowa,kostka rosołowa|kostki rosołowej|kostka bulionowa|kostki bulionowej,ciqual,11041,,0,"Bouillon de légumes, déshydraté",287,9.66,16,26
woda,woda,woda|wody|wodą|woda przegotowana|wody przegotowanej|przegotowanej wody|woda mineralna|wody mineralnej|woda gazowana|wody gazowanej,ciqual,18066,1.0,1,Eau du robinet,0,0,0,0
wino_biale,wino białe,wino białe|wina białego|białe wino|białego wina|białego wytrawnego wina,ciqual,5215,0.99,0,Vin blanc sec,55.3,0.25,0,0.17
wino_czerwone,wino czerwone,wino czerwone|wina czerwonego|czerwone wino|czerwonego wina|wino|wina,ciqual,5214,0.99,0,Vin rouge,75.7,0.16,0,0
piwo,piwo,piwo|piwa|piwem|piwo jasne|piwa jasnego,ciqual,5001,1.01,0,"Bière ""coeur de marché"" (4-5° alcool)",39,0.39,0,3.12
maslo,masło,masło|masła|masłem|masło extra|masła extra|masło ekstra|masła ekstra|masło niesolone|masła niesolonego|masło klarowane|masła klarowanego,ciqual,16400,0.96,0,"Beurre à 80% MG minimum, doux",753,0.64,83,0.71
margaryna,margaryna,margaryna|margaryny|margaryną|margaryna do pieczenia|margaryny do pieczenia|kasia|kasi,ciqual,16080,0.96,0,Matière grasse ou graisse végétale solide (type margarine) pour friture ou graisse à frire,898,0.25,99.8,0
smalec,smalec,smalec|smalcu|smalcem,ciqual,16520,0.92,0,Saindoux,900,0,100,0
olej,olej,olej|oleju|olejem|olej rzepakowy|oleju rzepakowego|olej roślinny|oleju roślinnego|olej do smażenia|oleju do smażenia,ciqual,17130,0.92,0,Huile de colza,900,0,100,0
olej_slonecznikowy,olej słonecznikowy,olej słonecznikowy|oleju słonecznikowego,ciqual,17440,0.92,0,Huile de tournesol,900,0.25,100,0
oliwa,oliwa z oliwek,oliwa|oliwy|oliwą|oliwa z oliwek|oliwy z oliwek|oliwa extra vergine|oliwy extra vergine,ciqual,17270,0.91,0,Huile d'olive vierge extra,899,0.25,99.9,0
mleko,mleko,"mleko|mleka|mlekiem|mleko 2%|mleka 2%|mleko 3,2%|mleka 3,2%|mleko krowie|mleka krowiego|mleko pełne|mleka pełnego|mleko pełnotłuste|mleka pełnotłustego|mleko świeże|mleka świeżego",ciqual,19033,1.03,0,Lait demi-écrémé (aliment moyen),47.5,3.46,1.55,4.97
mleko_skondensowane,mleko skondensowane niesłodzone,mleko skondensowane|mleka skondensowanego|mleko zagęszczone|mleka zagęszczonego,ciqual,19026,1.07,0,"Lait concentré sans sucres ajoutés, entier",119,6.44,5.9,9.91
mleko_skondensowane_slodzone,mleko skondensowane słodzone,mleko skondensowane słodzone|mleka skondensowanego słodzonego|masa krówkowa|masy krówkowej,ciqual,19027,1.3,0,"Lait concentré sucré, entier",327,7.7,7.87,56.5
maslanka,maślanka,maślanka|maślanki|maślanką,usda,170874,1.03,0,"Milk, buttermilk, fluid, cultured, lowfat",40,3.31,1.07,4.79
kefir,kefir,kefir|kefiru|kefirem,ciqual,19865,1.03,0,Kéfir de lait,61.1,3.19,3.4,4.5
kwasne_mleko,kwaśne mleko,kwaśne mleko|kwaśnego mleka|zsiadłe mleko|zsiadłego mleka,ciqual,19593,1.03,0,"Yaourt ou lait fermenté, nature",50.1,3.83,1.68,4.26
jogurt,jogurt naturalny,jogurt|jogurtu|jogurtem|jogurt naturalny|jogurtu naturalnego|naturalny jogurt|naturalnego jogurtu,ciqual,19593,1.04,0,"Yaourt ou lait fermenté, nature",50.1,3.83,1.68,4.26
jogurt_grecki,jogurt grecki,jogurt grecki|jogurtu greckiego|jogurt typu greckiego|jogurtu typu greckiego,ciqual,19860,1.05,0,Yaourt à la grecque nature,103,3.02,8.16,3.73
smietana_18,śmietana 18%,śmietana|śmietany|śmietaną|śmietana 18%|śmietany 18%|kwaśna śmietana|kwaśnej śmietany|śmietana kwaśna|śmietany kwaśnej|śmietana 12%|śmietany 12%|gęsta śmietana|gęstej śmietany,ciqual,19431,1.0,0,"Crème 12 à 25% MG, légère, épaisse, rayon frais",162,2.65,14.4,4.55
smietanka_30,śmietanka 30%,śmietanka|śmietanki|śmietanka 30%|śmietanki 30%|śmietanka 36%|śmietanki 36%|śmietana 30%|śmietany 30%|śmietana 36%|śmietany 36%|śmietanka kremówka|śmietanki kremówki|kremówka|kremówki,ciqual,19417,1.0,0,"Crème 30% MG, fluide, UHT",293,2.2,30,3.69
twarog,twaróg,twaróg|twarogu|twarogiem|twaróg półtłusty|twarogu półtłustego|twaróg tłusty|twarogu tłustego|twaróg chudy|twarogu chudego|ser biały|sera białego|biały ser|białego sera|twaróg sernikowy|twarogu sernikowego|ser twarogowy|sera twarogowego,usda,172179,0.95,0,"Cheese, cottage, creamed, large or small curd",98,11.12,4.3,3.38
serek_wiejski,serek wiejski,serek wiejski|serka wiejskiego|ser wiejski|sera wiejskiego,usda,172179,1.0,0,"Cheese, cottage, creamed, large or small curd",98,11.12,4.3,3.38
serek_homogenizowany,serek homogenizowany,serek homogenizowany|serka homogenizowanego,ciqual,19664,1.05,0,"Fromage frais type petit suisse, nature, 4% MG environ",88,9.71,3.9,3.11
mascarpone,mascarpone,mascarpone|serek mascarpone|serka mascarpone,ciqual,19584,1.0,0,Mascarpone,369,6,37,3.1
ricotta,ricotta,ricotta|ricotty|serek ricotta|serka ricotta,usda,170851,1.0,0,"Cheese, ricotta, whole milk",150,7.54,10.18,7.27
ser_zolty,ser żółty,ser żółty|sera żółtego|żółty ser|żółtego sera|ser gouda|sera gouda|gouda|ser edamski|sera edamskiego|ser salami|sera salami|ser tarty|sera tartego|tarty ser|tartego sera,ciqual,12736,,0,Gouda,369,24.7,30.2,0
ser_ementaler,ser ementaler,ementaler|ementalera|ser ementaler|sera ementalera,ciqual,12115,,0,Emmental ou emmenthal,373,27.9,28.8,0
parmezan,parmezan,parmezan|parmezanu|ser parmezan|sera parmezan,ciqual,12120,,0,Parmesan,411,31.1,31,1.14
mozzarella,mozzarella,mozzarella|mozzarelli|ser mozzarella|sera mozzarella,ciqual,19590,,0,Mozzarella au lait de vache,227,16.5,17.7,0.7
feta,ser feta,feta|fety|ser feta|sera feta|ser typu feta|sera typu feta|ser sałatkowy|sera sałatkowego,ciqual,12060,,0,"Fromage type feta, au lait de vache 100%",273,15.4,22.6,1.22
jajko,jajko,jajko|jajka|jajek|jajkiem|jaja|jaj|jajo|jajami|jajkami|jajka kurze|jaj kurzych|jajko kurze,ciqual,22000,,0,Oeuf cru,140,12.8,9.83,0.06
zoltko,żółtko,żółtko|żółtka|żółtek|żółtkami,ciqual,22002,,0,"Oeuf, jaune (jaune d'oeuf), cru",307,15.5,26.7,1.09
bialko_jaja,białko jaja,białko|białka|białek|białkami|białka jaj|białko jaja,ciqual,22001,,0,"Oeuf, blanc (blanc d'oeuf), cru",48.1,10.9,0.17,0.73
ziemniaki,ziemniaki,ziemniak|ziemniaki|ziemniaków|ziemniakami|kartofle|kartofli|kartofel|pyry|pyr|młode ziemniaki|młodych ziemniaków|ziemniaki młode,ciqual,4008,,0,"Pomme de terre, sans peau, crue",80,2.02,0.09,16.2
ziemniaki_gotowane,ziemniaki gotowane,ugotowane ziemniaki|ugotowanych ziemniaków|ziemniaki gotowane|ziemniaków gotowanych|gotowane ziemniaki|gotowanych ziemniaków|ziemniaki ugotowane|ziemniaków ugotowanych,ciqual,4003,,0,"Pomme de terre, bouillie/cuite à l'eau",81,1.8,0.34,16.8
cebula,cebula,cebula|cebuli|cebulę|cebule|cebul|cebulą|cebulka|cebulki|cebula biała|cebuli białej|cebula żółta|cebuli żółtej|cebula cukrowa|cebuli cukrowej,ciqual,20034,,0,"Oignon, cru",39,1.1,0.62,6.25
cebula_czerwona,cebula czerwona,cebula czerwona|cebuli czerwonej|czerwona cebula|czerwonej cebuli|cebule czerwone|czerwone cebule,ciqual,20238,,0,"Oignon rouge, cru",35,1.31,0.4,5.63
szalotka,szalotka,szalotka|szalotki|szalotek,ciqual,20034,,0,"Oignon, cru",39,1.1,0.62,6.25
dymka,cebula dymka,dymka|dymki|cebula dymka|cebuli dymki|cebulka dymka|cebulki dymki,ciqual,11003,,0,"Ciboule ou ciboulette, fraîche",30.8,2.55,0.46,2.85
czosnek,czosnek,czosnek|czosnku|czosnkiem|ząbek czosnku|ząbki czosnku|ząbków czosnku|główka czosnku|główki czosnku|czosnek świeży,ciqual,11000,,0,"Ail, cru",109,5.31,0,18.6
czosnek_granulowany,czosnek granulowany,czosnek granulowany|czosnku granulowanego|czosnek suszony|czosnku suszonego|czosnek w proszku,usda,171325,0.5,1,"Spices, garlic powder",331,16.55,0.73,72.73
marchew,marchew,marchew|marchewka|marchewki|marchwi|marchewek|marchewkę|marchwie|marchewką,ciqual,20009,,0,"Carotte, crue",30.2,0.78,0,5.16
pietruszka,pietruszka korzeń,pietruszka|pietruszki|korzeń pietruszki|korzenie pietruszki|korzenia pietruszki|pietruszka korzeń,ciqual,20181,,0,"Panais, cru",67.9,1.2,0.3,12.6
seler,seler,seler|selera|selerem|seler korzeniowy|selera korzeniowego|korzeń selera|kawałek selera,ciqual,20055,,0,"Céleri-rave, cru",26.3,1.38,0,3.98
seler_naciowy,seler naciowy,seler naciowy|selera naciowego|łodyga selera|łodygi selera|łodyg selera,ciqual,20023,,0,"Céleri branche, cru",15.4,0.63,0,2.41
por,por,por|pora|porem|pory|porów,ciqual,20039,,0,"Poireau, cru",30.4,1.5,0.3,4.55
kapusta,kapusta biała,kapusta|kapusty|kapustę|kapustą|kapusta biała|kapusty białej|biała kapusta|białej kapusty|kapusta młoda|kapusty młodej|młoda kapusta|młodej kapusty|kapusta włoska|kapusty włoskiej,ciqual,20116,,0,"Chou blanc, cru",35.2,1.38,0.6,4.63
kapusta_czerwona,kapusta czerwona,kapusta czerwona|kapusty czerwonej|czerwona kapusta|czerwonej kapusty|modra kapusta|modrej kapusty,ciqual,20014,,0,"Chou rouge, cru",26.4,1.13,0,4.33
kapusta_kiszona,kapusta kiszona,kapusta kiszona|kapusty kiszonej|kiszona kapusta|kiszonej kapusty|kiszonej kapusty z beczki,usda,169279,,0,"Sauerkraut, canned, solids and liquids",19,0.91,0.14,4.28
kapusta_pekinska,kapusta pekińska,kapusta pekińska|kapusty pekińskiej,ciqual,20167,,0,"Chou chinois pé-tsaï, cru",16.4,1.25,0.2,2.1
kalafior,kalafior,kalafior|kalafiora|kalafiorem|różyczki kalafiora|różyczek kalafiora,ciqual,20016,,0,"Chou-fleur, cru",24.9,1.81,0.7,2.13
brokul,brokuł,brokuł|brokuły|brokułu|brokułów|brokułem|różyczki brokuła|różyczek brokuła,ciqual,20057,,0,"Brocoli, cru",31.9,2.9,0.36,2.15
brukselka,brukselka,brukselka|brukselki|brukselką,ciqual,20058,,0,"Chou de Bruxelles, cru",43.9,3.38,0.3,4.59
burak,burak,burak|buraki|buraka|buraków|burakami|buraczki|buraczków|buraki czerwone|buraków czerwonych,ciqual,20091,,0,"Betterave rouge, crue",40.2,1.61,0.17,6.34
burak_gotowany,burak gotowany,buraki gotowane|buraków gotowanych|ugotowane buraki|ugotowanych buraków|pieczone buraki|pieczonych buraków,ciqual,20003,,0,"Betterave rouge, cuite",41.5,1.44,0.4,7.13
ogorek,ogórek,ogórek|ogórka|ogórki|ogórków|ogórkiem|ogórek świeży|ogórka świeżego|świeży ogórek|świeżego ogórka|ogórek zielony|ogórka zielonego|ogórek gruntowy|ogórki gruntowe|ogórków gruntowych|ogórek szklarniowy,ciqual,20019,,0,"Concombre, chair et peau, cru",16.8,0.65,0.11,2.87
ogorek_kiszony,ogórek kiszony,ogórek kiszony|ogórka kiszonego|ogórki kiszone|ogórków kiszonych|kiszony ogórek|kiszonego ogórka|kiszone ogórki|kiszonych ogórków|ogórek kwaszony|ogórki kwaszone|ogórków kwaszonych|kwaśne ogórki|kwaśnych ogórków|ogórki małosolne|ogórków małosolnych,usda,169379,,0,"Pickles, cucumber, sour",11,0.33,0.2,2.26
ogorek_konserwowy,ogórek konserwowy,ogórek konserwowy|ogórka konserwowego|ogórki konserwowe|ogórków konserwowych|korniszon|korniszony|korniszonów,ciqual,11097,,0,"Cornichon, aigre-doux",36,1.25,0.35,5
pomidor,pomidor,pomidor|pomidora|pomidory|pomidorów|pomidorem|pomidorami|pomidor malinowy|pomidory malinowe|pomidorów malinowych|pomidory koktajlowe|pomidorów koktajlowych,ciqual,20276,,0,"Tomate ronde, crue",17.5,0.5,0,3.42
cukinia,cukinia,cukinia|cukinii|cukinie|cukinię|cukinią,ciqual,20020,,0,"Courgette, chair et peau, crue",16.7,1.21,0.32,1.75
dynia,dynia,dynia|dyni|dynię|dynią|dynia hokkaido|dyni hokkaido|dynia piżmowa|dyni piżmowej,ciqual,20044,,0,"Potiron, cru",20.1,1.05,0.1,3.5
papryka,papryka,papryka czerwona|papryki czerwonej|czerwona papryka|czerwonej papryki|papryka żółta|papryki żółtej|papryka zielona|papryki zielonej|papryka|papryki|papryk|paprykę|papryka świeża|papryki świeżej,ciqual,20041,,0,"Poivron, vert, jaune ou rouge, cru",22.6,0.8,0.27,3.5
baklazan,bakłażan,bakłażan|bakłażana|bakłażany|bakłażanów|oberżyna|oberżyny,ciqual,20053,,0,"Aubergine, crue",22.9,0.98,0.18,2.7
fasolka_szparagowa,fasolka szparagowa,fasolka szparagowa|fasolki szparagowej|fasolka|fasolki|fasola szparagowa|fasoli szparagowej,ciqual,20061,,0,"Haricot vert, cru",31.9,1.83,0.22,4.14
groszek,groszek zielony,groszek|groszku|groszek zielony|groszku zielonego|zielony groszek|zielonego groszku|groszek mrożony|groszku mrożonego,ciqual,20084,,0,"Petits pois, surgelés, crus",77.9,5.86,0.4,9.5
groszek_konserwowy,groszek konserwowy,groszek konserwowy|groszku konserwowego|groszek z puszki|groszku z puszki,ciqual,20036,,0,"Petits pois, appertisés, égouttés",92.5,4.87,0.8,13.7
kukurydza,kukurydza konserwowa,kukurydza|kukurydzy|kukurydza konserwowa|kukurydzy konserwowej|kukurydza z puszki|kukurydzy z puszki,ciqual,20066,,0,"Maïs doux, appertisé, égoutté",105,2.66,1.68,18.3
szpinak,szpinak,szpinak|szpinaku|szpinakiem|szpinak świeży|szpinak mrożony|szpinaku mrożonego|liście szpinaku|liści szpinaku,ciqual,20059,,0,"Épinard, cru",33.3,2.68,0.39,3.06
salata,sałata,sałata|sałaty|sałatę|sałata masłowa|sałaty masłowej|sałata lodowa|sałaty lodowej|sałata rzymska|sałaty rzymskiej|liście sałaty|liści sałaty,ciqual,20031,,0,"Laitue, crue",14.7,1.35,0.2,1.22
rzodkiewka,rzodkiewka,rzodkiewka|rzodkiewki|rzodkiewek|rzodkiewkami,ciqual,20045,,0,"Radis rouge, cru",11,0.94,0,1.53
pieczarki,pieczarki,pieczarka|pieczarki|pieczarek|pieczarkami,ciqual,20056,,0,"Champignon de Paris ou champignon de couche, cru",21,2.11,0.36,1.83
grzyby,grzyby leśne,grzyby|grzybów|grzybami|grzyby leśne|grzybów leśnych|borowiki|borowików|prawdziwki|prawdziwków|podgrzybki|podgrzybków|grzyby świeże|grzybów świeżych,ciqual,20160,,0,"Champignon, cèpe, cru",28.8,3.23,0.49,2
kurki,kurki,kurki|kurek,ciqual,20103,,0,"Champignon, chanterelle ou girolle, crue",24.7,1.49,0.53,1.77
boczniaki,boczniaki,boczniak|boczniaki|boczniaków,ciqual,20114,,0,"Champignon, pleurote, crue",26.8,3.31,0.41,1.5
grzyby_suszone,grzyby suszone,grzyby suszone|grzybów suszonych|suszone grzyby|suszonych grzybów|suszone prawdziwki|suszonych prawdziwków,ciqual,20211,,0,"Champignon, lentin comestible ou shiitaké, séché",316,9.58,0.99,63.9
koper_wloski,koper włoski,koper włoski|kopru włoskiego|fenkuł|fenkułu,ciqual,20028,,0,"Fenouil, cru",18.2,1,0,2.63
kalarepa,kalarepa,kalarepa|kalarepy,ciqual,20065,,0,"Chou-rave, cru",25.1,1.7,0.1,2.44
jarmuz,jarmuż,jarmuż|jarmużu,ciqual,20218,,0,"Chou frisé, cru",49.5,4.28,0.93,4.2
jablko,jabłko,jabłko|jabłka|jabłek|jabłkiem|jabłkami|jabłko kwaśne|kwaśne jabłko|kwaśnego jabłka|kwaśnych jabłek|kwaśne jabłka|szara reneta|szarej renety|antonówka|antonówki|antonówek,ciqual,13039,,0,"Pomme, chair et peau, crue",54,0.25,0.25,11.6
gruszka,gruszka,gruszka|gruszki|gruszek|gruszkami,ciqual,13037,,0,"Poire, chair et peau, crue",56.6,0.36,0.27,12.3
sliwki,śliwki,śliwka|śliwki|śliwek|śliwkami|węgierki|węgierek|śliwki węgierki|śliwek węgierek|połówki śliwek|połówek śliwek,ciqual,13583,,0,"Prune violette, sans noyau, crue",46.4,0.8,0.1,9.6
sliwki_suszone,śliwki suszone,śliwki suszone|śliwek suszonych|suszone śliwki|suszonych śliwek|suszona śliwka,ciqual,13042,,0,"Pruneau, sans noyau, sec",229,1.63,0.4,55.4
wisnie,wiśnie,wiśnie|wiśni|wiśnia|czereśnie|czereśni|czereśnia,ciqual,13008,,0,"Ceriser, chair et peau, sans noyau, crue",53.7,0.81,0,13
truskawki,truskawki,truskawka|truskawki|truskawek|truskawkami,ciqual,13014,,0,"Fraise, crue",35.1,0.63,0,6.03
maliny,maliny,malina|maliny|malin|malinami,ciqual,13015,,0,"Framboise, crue",47.9,1.19,0.8,5.83
borowki,borówki,borówki|borówek|jagody|jagód|borówka amerykańska|borówki amerykańskie|borówek amerykańskich,ciqual,13028,,0,"Myrtille, crue",57.7,0.87,0.33,10.6
porzeczki,porzeczki czerwone,porzeczki|porzeczek|porzeczki czerwone|porzeczek czerwonych|czerwone porzeczki|czerwonych porzeczek,ciqual,13019,,0,"Groseille, crue",67.2,1.56,0.7,7.06
porzeczki_czarne,porzeczki czarne,porzeczki czarne|porzeczek czarnych|czarne porzeczki|czarnych porzeczek,ciqual,13007,,0,"Cassis, cru",70.2,1.4,0.41,9.68
agrest,agrest,agrest|agrestu,ciqual,13020,,0,"Groseille à maquereau, crue",39.4,0.88,0.58,4.45
jezyny,jeżyny,jeżyny|jeżyn,ciqual,13029,,0,"Mûre (de ronce), crue",46,1.13,0.7,6.53
rabarbar,rabarbar,rabarbar|rabarbaru|łodygi rabarbaru|łodyg rabarbaru,ciqual,13047,,0,"Rhubarbe, tige, crue",18.1,0.73,0.16,1.12
morele,morele,morela|morele|moreli,ciqual,13000,,0,"Abricot, dénoyauté, cru",44.1,0.81,0,9.01
pigwa,pigwa,pigwa|pigwy|pigwowiec|pigwowca,ciqual,13010,,0,"Coing, cru",59,0.4,0.1,12.5
